date,open,high,low,close,volume
2021-08-06,79029.04393322502,79478.04609358462,78337.93170151104,78496.2421875,10148
2021-08-09,78823.77710589668,81972.01365979826,78536.25397124067,79379.7734375,64535
2021-08-10,79427.707794755,80261.61307548992,77544.62289853608,78167.40625,22258
2021-08-11,78337.93379915852,79130.88071510124,76652.18079335385,76952.7421875,16579
2021-08-12,77543.65422089043,78050.32530937089,76954.63223074721,77580.390625,13737
2021-08-13,77891.70568235565,78536.25830735287,77810.5400831718,78211.8515625,9067
2021-08-16,78290.06097089464,78685.01998246778,77455.41160466993,77999.609375,8280
2021-08-17,77999.581744603,78501.58901940224,77276.99340290009,78076.734375,9035
2021-08-18,78436.08749369242,78833.72679488423,78238.75527190397,78682.15625,7011
2021-08-20,78733.59238971968,78733.59238971968,77152.95099286061,77422.625,8520
2021-08-23,78039.45694215657,78039.45694215657,75313.4951493258,75524.609375,14541
2021-08-24,75858.86576217739,76752.31462559859,75377.68256464672,76511.3046875,12172
2021-08-25,76592.64279830847,77326.48770185403,76094.44696973756,76370.1171875,12272
2021-08-26,76484.59653731706,76617.47353795235,75660.56080949672,75922.890625,8394
2021-08-27,76007.62904868832,76684.55650084966,75922.89206987487,76308.5390625,6617
2021-08-30,76354.68533167915,77718.11537330491,76354.68533167915,77530.25,9045
2021-08-31,77643.78665105918,79185.80105457,77601.93722023533,79074.4453125,14859
2021-09-01,79329.54179591067,79884.80210632864,78575.7097261848,79284.5703125,10789
2021-09-02,79719.26993976797,81189.39239478872,79370.6691881527,80584.109375,14947
2021-09-03,81262.22255908712,81907.86753438207,80826.80090784162,81707.3125,15764
2021-09-06,82006.91923594465,82502.72890484396,80597.58025209839,80722.625,10180
2021-09-07,81099.5841443583,81610.26808193052,80212.13135636302,80405.15625,11928
2021-09-08,80697.98515586054,80747.21750867926,79141.14272903945,79567.5390625,9413
2021-09-09,79627.04281904563,80787.19110772123,79131.23308791831,79198.5625,14454
2021-09-13,79131.22547446101,79733.23914147963,78585.83482269468,79571.109375,7150
