date,open,high,low,close,volume
2024-02-27,2287.5451965256293,2292.2076402527696,2273.3671395694214,2288.734619140625,1120424
2024-02-28,2294.2534952803453,2307.4797813093674,2284.6428680098106,2304.197021484375,629152
2024-02-29,2307.4799957614687,2311.0958871651037,2281.074812304817,2295.3955078125,2848084
2024-03-01,2299.8197932900557,2320.610992152407,2287.4974222733213,2292.921142578125,2326244
2024-03-04,2299.106276780367,2310.239225924015,2287.878080904484,2304.625244140625,1501261
2024-03-05,2288.449156471972,2302.722228133959,2275.222869655507,2283.548828125,1587199
2024-03-06,2287.497512070002,2292.112564616578,2260.188416020836,2284.45263671875,1354111
2024-03-07,2288.401396798682,2308.4313192997674,2286.545944054963,2302.2939453125,1820704
2024-03-11,2292.25506306885,2296.0612151038335,2268.038467208084,2274.033203125,2040761
2024-03-12,2264.6605848205845,2269.4182751248295,2246.3911005141035,2262.900146484375,1012157
2024-03-13,2259.9027333065187,2259.9027333065187,2192.200898030252,2200.52685546875,2322669
2024-03-14,2193.15243804242,2228.216473730242,2190.297824060878,2221.460693359375,2292515
2024-03-15,2217.131226818886,2223.6967462831662,2203.6668243480685,2214.89501953125,2751403
2024-03-18,2208.3294060404837,2212.3258191228897,2185.682755494743,2188.48974609375,2487402
2024-03-19,2172.5989819315796,2192.248147291929,2137.9630941512487,2157.0888671875,4220638
2024-03-20,2140.96046434362,2155.661679736964,2131.445084502093,2133.300537109375,2995013
2024-03-21,2125.735961002828,2149.6670495560147,2125.735961002828,2133.681396484375,3504486
2024-03-22,2130.541200274139,2156.185102851086,2123.880434290045,2147.193115234375,3507809
2024-03-26,2123.928254544735,2149.667173922062,2123.8330078125,2131.4453125,3027027
2024-03-27,2140.960556087323,2153.3305504113832,2127.6390237383353,2131.15966796875,2168861
2024-03-28,2136.20288054334,2177.023769167726,2131.540437113006,2154.615234375,3186360
2024-04-01,2159.991486744805,2183.7799392419947,2152.379181945704,2175.120849609375,1427873
2024-04-02,2186.6347521861035,2186.6347521861035,2166.7000736443174,2175.88232421875,1221495
2024-04-03,2171.2673211234596,2171.2673211234596,2151.4752820475064,2155.424072265625,1175309
2024-04-04,2159.991348715431,2171.409805184411,2140.2469344044857,2155.18603515625,1890255
2024-04-05,2155.1857913246454,2169.982252620154,2148.667895879807,2157.0888671875,1153449
2024-04-08,2166.651870170275,2178.0227019906465,2157.326751979139,2158.991943359375,1127294
2024-04-09,2160.942933319301,2164.368563257449,2146.431977910618,2154.4248046875,1189343
2024-04-10,2166.556884127424,2166.556884127424,2148.287400105084,2151.332275390625,2308993
2024-04-12,2151.3322566982424,2155.0910177947553,2120.597763925149,2124.118408203125,3388551
2024-04-15,2119.7413313923703,2119.7889547581244,2083.868392288314,2087.72216796875,4909564
2024-04-16,2077.2075959305644,2123.1193075676006,2066.7883005804556,2113.17578125,2821129
2024-04-18,2107.704193082432,2129.2564348333967,2101.994965354063,2107.46630859375,3392171
2024-04-19,2112.414458340636,2135.0134868927034,2089.5775452774938,2123.452392578125,2337694
2024-04-22,2140.9606320927674,2144.3386386629995,2121.025956224656,2132.87255859375,1804108
2024-04-23,2143.8150341424634,2163.3215624158415,2139.7233744330624,2153.092529296875,1991778
2024-04-24,2156.232834312824,2158.4214182791357,2136.8213188005566,2150.7138671875,1404398
2024-04-25,2129.589797086767,2131.3026120529203,2107.752045118327,2122.73876953125,4951866
2024-04-26,2136.202757718772,2145.7181374858937,2111.082248057202,2114.935791015625,2307512
2024-04-29,2125.7360519827253,2125.7360519827253,2112.414518980148,2118.218994140625,1395292
2024-04-30,2123.8804638974716,2131.683029125793,2117.172074458158,2122.35791015625,2119102
2024-05-02,2098.1892381976913,2134.490325594093,2098.1892381976913,2118.409423828125,2140383
2024-05-03,2123.832868867289,2127.305889730108,2097.1898042040793,2109.607421875,2595307
2024-05-06,2117.1724074125173,2151.9035502756888,2104.8024113242645,2146.8603515625,1619256
2024-05-07,2156.185274976806,2273.7954738082717,2149.5245084609905,2264.089599609375,8277810
2024-05-08,2251.7194941298253,2257.2860845113137,2212.325912736349,2227.59814453125,1813439
2024-05-09,2227.1700153936445,2247.6280831254676,2207.0448465882805,2212.9443359375,1558987
2024-05-10,2208.5199417588396,2256.0968470099992,2208.5199417588396,2248.056396484375,2610266
2024-05-13,2258.951417394285,2266.230590832508,2234.1161804125177,2246.248291015625,1170617
2024-05-14,2246.200805229027,2257.333753909957,2233.0219103629047,2235.73388671875,689430
2024-05-15,2235.686124115199,2241.6332365347407,2205.3319229404124,2210.708251953125,812282
2024-05-16,2223.7443255783614,2234.306490394986,2189.822088503335,2229.59619140625,1880021
2024-05-17,2237.922206273115,2237.922206273115,2202.905792515625,2207.9013671875,1264582
2024-05-21,2195.1981059581112,2212.135528356664,2190.2025315947476,2198.71875,1663959
2024-05-22,2199.00419017492,2258.95108069029,2198.7186823296997,2252.195068359375,1914851
2024-05-23,2252.195220775294,2271.130966541499,2240.872011390838,2267.039306640625,1614718
2024-05-24,2263.2329537227774,2267.752758864751,2250.1016839011268,2254.240966796875,974100
2024-05-27,2254.241167032986,2283.643598592014,2248.0085466112523,2268.9423828125,1116934
2024-05-28,2274.175797760931,2292.255019584135,2263.2807342292895,2279.83740234375,1631747
2024-05-29,2265.8021695871143,2278.9334400458533,2254.5739750699586,2258.380126953125,1592495
2024-05-30,2253.242158147563,2257.476456113005,2220.9374870126303,2237.446533203125,1837380
2024-05-31,2238.9689767771592,2262.2340350676586,2205.284623556336,2216.1796875,5529186
2024-06-03,2265.6119681036826,2271.7493417150577,2230.6905701180376,2241.728271484375,1207445
2024-06-04,2258.951313785197,2388.408110980156,2228.597343141122,2375.324462890625,7826048
2024-06-05,2410.7690967329754,2591.9418352796642,2402.633400538643,2476.615478515625,11061076
2024-06-06,2473.998928676966,2473.998928676966,2395.9728086186924,2426.04150390625,4102547
2024-06-07,2431.464908387118,2470.668224470338,2402.633262772041,2452.87451171875,3974253
2024-06-10,2454.0164768149452,2467.9564154482496,2422.6157231372044,2441.028076171875,1449122
2024-06-11,2441.6466046084306,2451.8280151494614,2427.6590419168024,2432.46435546875,1402423
2024-06-12,2443.5497898876715,2443.5497898876715,2395.021347798781,2406.154296875,1754677
2024-06-13,2367.3791052932656,2384.364152841729,2327.8902752131453,2366.855712890625,3123098
2024-06-14,2376.0794838583147,2412.013628887546,2373.5812878627453,2382.56494140625,1729552
2024-06-18,2382.709074497223,2400.0998034109475,2376.223616661745,2388.810302734375,1820933
2024-06-19,2397.2172668730286,2397.2172668730286,2355.4220960878674,2360.70654296875,986976
2024-06-20,2360.706616671376,2392.4132989465716,2350.76215431065,2384.9189453125,2163310
2024-06-21,2378.0010255446114,2380.88345103012,2331.4499008681246,2345.621826171875,3646215
2024-06-24,2339.5690411047367,2371.1316987941946,2331.9306593223905,2346.48681640625,1945519
2024-06-25,2343.7483395788545,2350.8101414046546,2332.7468944491416,2336.87841796875,833789
2024-06-26,2341.4901275588795,2370.3143802575937,2337.0703149827955,2349.753173828125,1738656
2024-06-27,2353.9324813657418,2385.8793605123847,2340.5292511645553,2365.654296875,3402726
2024-06-28,2366.4712693367455,2392.8935023480167,2366.327241894727,2376.12744140625,2129791
2024-07-01,2364.597966641717,2424.1200103499796,2354.077159765737,2406.921630859375,3312865
2024-07-02,2416.4334016689368,2416.4334016689368,2382.1806721302996,2387.753173828125,1305210
2024-07-03,2389.1944701801613,2421.093501473132,2377.3286254147783,2411.9658203125,1406405
2024-07-04,2416.481418640606,2437.4270904546393,2395.1993700290486,2398.1298828125,1977010
2024-07-05,2398.130118634334,2453.9051033921646,2398.130118634334,2447.179443359375,1754286
2024-07-08,2459.6697583062924,2493.2980557831365,2436.8505564470056,2485.755615234375,2818809
2024-07-09,2485.755514072415,2511.553315058721,2467.356125887833,2488.637939453125,1479529
2024-07-10,2479.8470552409967,2523.0834432634088,2472.1605862592346,2508.142822265625,1764036
2024-07-11,2514.4359645699687,2514.4840519117424,2488.542221172962,2506.60546875,1432671
2024-07-12,2499.0630428864465,2536.0541721256345,2499.0630428864465,2519.480224609375,1912642
2024-07-15,2525.0046235125783,2526.2056340831227,2511.2169283337776,2517.6064453125,920101
2024-07-16,2523.03539758819,2618.2035401549106,2521.690359323134,2583.0859375,3298003
2024-07-18,2594.1829285927874,2643.376276472366,2550.9465464495743,2631.077880859375,5569762
2024-07-19,2631.654457755346,2635.4976917206695,2609.5077751156914,2620.124755859375,1668862
2024-07-22,2599.659583162453,2642.175360458866,2599.611495821651,2628.099609375,1911629
2024-07-23,2638.380313247674,2701.121159308212,2624.9289933695,2657.932861328125,3906259
2024-07-24,2640.3016724627655,2649.3812655791385,2570.258828910882,2610.564697265625,3611927
2024-07-25,2610.5648880170047,2618.0592415362944,2565.358799338894,2601.100830078125,2166670
2024-07-26,2617.2424725522474,2620.1248981828116,2581.9327585778365,2604.800048828125,2135309
2024-07-29,2604.943905005056,2613.3990665465953,2587.2651227956057,2605.328369140625,957011
2024-07-30,2609.1714290661307,2646.4027551967984,2580.154827236723,2585.919677734375,1560399
2024-07-31,2598.9871405340136,2603.4548064845294,2570.210971234448,2599.611572265625,1751085
2024-08-01,2607.63447908741,2618.155286095555,2589.571230917644,2609.123779296875,1886392
2024-08-02,2605.7128261438243,2651.3512329439095,2576.0717881089126,2587.025146484375,1738872
2024-08-05,2571.0757046052054,2634.5371590152968,2561.70782083409,2609.4599609375,3118731
2024-08-06,2613.495316474495,2663.120982084399,2602.493871399837,2642.271484375,2296031
2024-08-07,2672.6806902344133,2672.824952238418,2628.29138888837,2636.50634765625,1713875
2024-08-08,2646.066651142138,2651.1108958474742,2613.783391199029,2626.081787109375,1464161
2024-08-09,2647.988365284219,2649.909982385296,2612.0542193230376,2639.533203125,1284031
2024-08-12,2630.693760855518,2655.098203741582,2615.7050539259953,2640.974365234375,1297178
2024-08-13,2634.5370281742244,2649.5735880618686,2623.1035003273,2633.96044921875,1051237
2024-08-14,2633.5761711471446,2635.0654712777045,2600.524451664369,2615.368896484375,946995
2024-08-16,2630.59777348397,2645.6826561697726,2604.463826464813,2640.542236328125,1727926
2024-08-19,2642.271493522543,2651.591289168054,2629.7809828751347,2635.0654296875,1130327
2024-08-20,2635.065549158341,2648.2285794460054,2627.8594849965834,2643.232421875,1097889
2024-08-21,2641.742926879829,2685.555887581203,2635.449584394862,2681.80859375,1417729
2024-08-22,2693.0980594265625,2699.8718060680067,2673.065343530661,2683.345947265625,1552947
2024-08-23,2689.495041641558,2710.440713352591,2662.7366663031476,2705.25244140625,2111401
2024-08-26,2705.2524174551604,2723.843920575267,2693.722715834364,2710.584716796875,1152244
2024-08-27,2698.9110690675607,2713.419371206562,2651.39913578788,2658.4609375,1357212
2024-08-28,2651.83161941354,2672.729205544788,2638.1400974654807,2656.01123046875,1723549
2024-08-29,2661.391380337622,2699.871806559106,2637.419255873575,2676.091796875,2129934
2024-08-30,2686.132239865862,2705.9249885246168,2651.9275984762385,2669.1259765625,4029712
2024-09-02,2684.499119525131,2698.815073255556,2670.086991109642,2679.7431640625,957950
2024-09-03,2671.0477444623643,2717.1184670971547,2666.2437017564966,2684.787353515625,2022116
2024-09-04,2671.0476947453803,2732.3954127863854,2663.0248497469543,2729.897216796875,1640986
2024-09-05,2728.7444187868173,2743.1084599551136,2712.9870175378533,2727.20703125,1945173
2024-09-06,2717.2628675406695,2754.1097362282353,2717.2628675406695,2727.6875,1672730
2024-09-09,2741.2830254850464,2823.0476940661742,2731.7708798965596,2807.29052734375,3342754
2024-09-10,2819.0120375659517,2822.4710418704444,2774.3344439235466,2784.99951171875,1536584
2024-09-11,2797.4904873071846,2834.3854446904593,2784.519570865381,2790.332275390625,1913665
2024-09-12,2796.913567246111,2847.2598392446016,2780.7719373945893,2840.5341796875,2454564
2024-09-13,2840.534331776925,2840.534331776925,2804.1197811969887,2818.00341796875,1902001
2024-09-16,2795.9527214811214,2795.9527214811214,2697.3736760288116,2754.734130859375,1489057
2024-09-17,2754.734220040867,2799.6998714212546,2748.008560355651,2760.88330078125,1098661
2024-09-18,2761.363767778583,2780.1476218120856,2749.5457757201657,2763.141357421875,464796
2024-09-19,2763.5255740396533,2819.3005569204092,2760.7393230916587,2797.63427734375,1713010
2024-09-20,2810.172827301893,2872.193064647857,2781.924915858446,2860.903564453125,3641632
2024-09-23,2863.209148677128,2916.053612830565,2853.552976949162,2909.8564453125,1300470
2024-09-24,2901.64167780885,2901.64167780885,2830.6380232967213,2834.91357421875,1929308
2024-09-25,2834.913608154621,2844.3295785071546,2791.244908103834,2833.376220703125,1055354
2024-09-26,2835.4422567851584,2875.5560144698934,2825.9301112254557,2869.070556640625,1902889
2024-09-27,2869.0704340908233,2911.2498345646336,2837.027375911129,2849.998291015625,2977081
2024-09-30,2848.0287842912826,2880.407986959027,2827.27545942713,2842.360107421875,1627702
2024-10-01,2846.587262073405,2846.587262073405,2778.0815699262566,2809.163818359375,1184642
2024-10-03,2794.75192453702,2808.5396213284594,2748.969490062006,2779.95556640625,1233447
2024-10-04,2777.6974314563677,2799.7960274174525,2706.6456883133583,2737.103271484375,2456486
2024-10-07,2733.5004540047285,2754.109751462268,2714.3323694403375,2722.35498046875,1280975
2024-10-08,2732.539476632422,2772.8934351480907,2689.0148030331857,2708.3271484375,1761488
2024-10-09,2712.746640266062,2715.1008087621585,2652.5039938931,2660.4306640625,1476282
2024-10-10,2661.4396754977797,2678.1576503885535,2626.081874049611,2646.7392578125,2065078
2024-10-11,2656.4432884023827,2680.6556147827187,2629.7808535241675,2674.1220703125,679307
2024-10-14,2682.193036816241,2694.7794871149144,2656.6354375124847,2679.791015625,874010
2024-10-15,2683.6344784180606,2689.591444565931,2656.8758662364426,2672.44091796875,1082666
2024-10-16,2679.8390730118053,2687.9100055740655,2647.6041338219375,2672.248779296875,1170797
2024-10-17,2670.5191491058513,2672.969257705141,2616.713872890363,2631.318115234375,1368242
2024-10-18,2631.318027881403,2632.61521314749,2587.889531863665,2610.61279296875,1137277
2024-10-21,2608.5951357141957,2630.693731707355,2575.3991543839065,2587.98583984375,792345
2024-10-22,2579.8669872871565,2603.7910250164714,2568.961717025015,2576.60009765625,1272253
2024-10-23,2518.27935266977,2587.5056595460446,2518.27935266977,2555.078369140625,1431962
2024-10-24,2543.2602724519998,2543.2602724519998,2356.479181179084,2406.921630859375,9216267
2024-10-25,2404.231105477805,2440.4535382451563,2402.1173737371087,2428.971923828125,2761166
2024-10-28,2444.2968286647133,2488.1097901772814,2421.3335992998454,2474.8505859375,852829
2024-10-29,2484.3625217211766,2484.3625217211766,2436.6103856054533,2447.8037109375,1695654
2024-10-30,2456.7875756265485,2462.840716685124,2434.112398972091,2454.81787109375,1200637
2024-10-31,2454.817848962692,2463.0328092843833,2425.1770448391885,2429.164306640625,1901355
2024-11-01,2444.2489262035915,2446.1705433526063,2412.9267074180943,2438.0517578125,118532
2024-11-04,2447.179020886652,2447.179020886652,2405.38385504112,2425.84912109375,1097260
2024-11-05,2421.23748263124,2431.08577001099,2408.7469718081425,2422.53466796875,702046
2024-11-06,2444.7447080070283,2451.4515690636567,2425.1105935476853,2430.65087890625,1219166
2024-11-07,2430.650792943567,2439.5930367343426,2397.0201443149404,2406.15673828125,1322446
2024-11-08,2414.3698717211782,2444.793147696757,2398.1863642528074,2437.45458984375,1700877
2024-11-11,2438.7183808715204,2444.4530163003965,2405.7194291168203,2421.271240234375,1175577
2024-11-12,2425.11043110781,2427.005760537496,2387.202893306927,2392.548828125,1624222
2024-11-13,2393.1320758129814,2403.5323013697825,2381.7596248219456,2395.902099609375,1262017
2024-11-14,2391.479431181601,2395.6590274804553,2316.9279912203806,2322.27392578125,2443393
2024-11-18,2333.8890447659433,2357.0710550111958,2309.20064286303,2355.02978515625,1374215
2024-11-19,2363.7776960673323,2371.8452445208204,2337.728605593575,2342.83154296875,1133370
2024-11-21,2356.828074767604,2356.828074767604,2309.540950041982,2316.05322265625,1291829
2024-11-22,2323.9749048547187,2383.4121196689493,2311.242003100475,2376.75390625,1696471
2024-11-25,2400.8106354018087,2435.5105635219556,2388.758077739939,2402.219970703125,4368045
2024-11-26,2416.6054934792924,2425.061742768364,2391.4795053433168,2409.7529296875,982442
2024-11-27,2405.816200610109,2423.1176358895655,2389.1466999635395,2417.237060546875,948232
2024-11-28,2416.3623676782477,2468.023439226603,2384.48111118336,2393.22900390625,2540530
2024-11-29,2386.328105245208,2437.2601873197295,2386.328105245208,2426.22802734375,1795164
2024-12-02,2415.390571345119,2420.736506211275,2391.62550835502,2409.704345703125,1006993
2024-12-03,2410.530520207273,2421.659736640615,2396.922686625458,2413.30078125,1641588
2024-12-04,2411.599696499456,2423.1662596170304,2387.7373419097,2395.464599609375,1321495
2024-12-05,2396.5340239678508,2444.550142583365,2381.4195611129917,2424.7216796875,2071795
2024-12-06,2425.110340492518,2425.8879784428123,2405.670578244081,2414.22412109375,1308086
2024-12-09,2395.9507252372305,2407.5659358566236,2316.5393429808005,2333.50048828125,3385021
2024-12-10,2341.2279687941573,2345.4075655839893,2321.3995041053026,2330.196044921875,2063838
2024-12-11,2337.631401911156,2341.859645105597,2318.191639733101,2334.083740234375,1718225
2024-12-12,2318.240245124781,2332.722772767621,2272.5081579587118,2279.263427734375,3231056
2024-12-13,2279.2635193052206,2327.474225501901,2268.0856558037367,2323.14892578125,2260902
2024-12-16,2323.343284729169,2325.9676052312534,2296.807961204117,2299.86962890625,1247552
2024-12-17,2287.428194383181,2313.3315812440496,2287.428194383181,2297.05078125,2131569
