symbol,stock_code
AHIMSA,AHIIND
ALBK,ALLBAN
FULFORD,FULIND
NUCLEUS,NUCSOF
SYRMA,SYRTEC
CANBK,CANBAN
MOQUALITY,MOTQUA
MOVALUE,MOTENH
SEYAIND,SRIORG
GABRIEL,GABIND
DREAMFOLKS,DRESER
GRMOVER,GRMOVE
HDFCSILVER,HDFSIL
JFLLIFE,JFLLIF
KORE,JAYJAL
DBOL,DHABIO
AMEYA,AMEPRE
LEEL,LLOELE
GENESYS,GENINT
GANESHANHY,GANANH
GODREJIND,GODIND
736GS2052,736I52
RADAAN,RADMED
COAST-RE,COARE1
JUNIORBEES,NIFJUN
DIVISLAB,DIVLAB
IGFLFERT,INDFER
TMB,TAMMER
STCINDIA,STC
GARDENSILK,GARSIL
MEGAFLEX,MEGFLE
SABAR,SABFLE
TAPIFRUIT,TAPFRU
RADICO,RADKHA
INDORAMA,INDRA
ISHAN,ISHINT
PEPL,PEAENG
MARUTI,MARUTI
GARFIBRES,GARWAL
UTISUNDER,NIFUTI
LIQUIDBEES,LIBEES
INDORAMTEX,INDRT
91D221222,TQL22D
INFOBEAN,INFOTE
SANGINITA,SANCHE
BANKIETF,ICIPBE
DCMNVL,DCMNOU
SATIA,SATIND
SIRCA,SIRPAI
SECURKLOUD,8KMILE
KSOLVES,KSOIND
NATHBIOGEN,NATHBI
AGRITECH,AGRITE
GFSTEELS,GRAFOU
LIBAS,LIBDES
DANGEE,DANDUM
WOPOLIN,BAJPLA
SUMIT,SUMWOO
SGBJUL27,SGBT29
CNL,CREPER
HARSHA,HARENG
COFFEEDAY,COFDAY
LIBAS-RE,LIBRE1
IDFCFIRSTB,IDFBAN
SGBAUG30,SGBT61
SILVERAXIS,AXISIL
INDIGO,INTAVI
ANNAPURNA,ANNSWA
KANDARP,KANDIG
GERMANREM,GERREM
SHK,SHKEL
NOIDATOLL,NOITOL
MAKS,MAKENE
UCOBANK,UCOBAN
UGROCAP,UGRND3
BAGFILMS,BAGFIL
1035UCL24,UGRND8
1050UCL25,UGRND9
SUVEN,SUVLIF
JSL,JINSTA
NSIL,NALSON
SKSTEXTILE,SKSTEX
HDFCGROWTH,HDFG15
WELSPUNLIV,WELIND
HDFCQUAL,HDFQ30
HDFCVALUE,HDFV20
IGL,INDGAS
TVSELECT,TVSELE
GHCL,GHCLIM
DREDGECORP,DRECOR
TVTODAY,TVTNET
UPL,UNIP
UNIENTER,UNIENT
SIL,STAIN
