symbol,stock_code
NAGREEKEXP,NAGEXP
965SCL28,INHN28
TIMETECHNO,TIMTEC
1015SCL28A,INHN29
HGS,HTMGLO
925SCL28,INHN30
971SCL28,INHN31
ACCURACY,ACCSHI
990IHFL26D,INHN25
948IHFL26D,INHN26
NIRMAN,NIRAGR
NETFINCO,NETFLI
DLF,DLFLIM
FTCPOF3YGR,FTCPO1
FTCPOF5YGR,FTCPO3
SENSEXAXIS,AXISEN
FTCPOF5YDV,FTCPO4
ADVANIHOTR,ADVHOT
WINSOME,WINYAR
IDBI,IDBI
NELCAST,NELLIM
V2RETAIL,VISRET
TARMAT,TARMAT
LOWVOL,MIR100
CELESTIAL,CELLAB
SPARC,SUNADV
SIGMAADV,MEGLTD
S,SOUAS
ADSL,ALLDIG
EVERONN,EVESYS
ALCHEM,ALCLIM
WSI,WSINDU
DECCANCE,DECCEM
VIPCLOTHNG,MAXWEL
ALPA,ALPALA
IFBIND,IFBIND
OMAXE,OMALIM
GOLD1,KOTGOL
REPL,RUDENT
BRIGHT-RE,BRIRE1
IVRCLAH,IVRPRI
FLFL,FUTLIF
USK,UDAINF
182D290923,THI23D
364D290324,TYC24D
ASIANTILES,ASIGRA
AKI,AKIIND
CENTRALBK,CENBAN
SGBSEP28VI,SGBT43
SAHYADRI,SAHYIN
KDDL,KAMDIA
IFCI,IFCI
KPRMILL,KPRMIL
TAKE,TAKSOL
PURVA,PURPRO
LAL,LORAPP
SRIPIPES,SRIPIP
ISMTLTD,ISMT
CIEINDIA,MAHCIE
GSEC10YEAR,MIRNIF
RBA,BURKIN
NAGREEKCAP,NAGCAP
MOTILALOFS,MOTOSW
INDOWIND,INDWIN
MAGNUM,MAGVEN
XLENERGY,XLENE
CSBBANK,CSBBAN
ECEIND,ECEIND
706GS2028,706D28
KSCL,KAVSEE
PNB-RE,PNBRE1
POWERGRID,POWGRI
CENTUM,CENELE
KOUTONS,KOURET
CCCL,CONSCO
SOTAC,SOTPHA
INDAL,INDALU
SUPREMEINF,SUPINF
MANGCHEFER,MANCHE
MAANALU,MANALU
91D130723,TQG23B
182D121023,THJ23B
SHIVAMILLS,SHIMIL
ASCOM,ASCLEA
PSUBNKBEES,PSUBAN
BAJAJELEC,BAJELE
364D110424,TYD24B
INFINIUM,INFPHA
CERA,CERSAN
DELTACORP,DELCOR
699GS2026,699D26
ENERGYDEV,ENEDEV
717GS2030,717D30
MOS,MOSUTI
AVALON,AVATE
PSUBANK,KOTPSB
JCTEL,JCTELE
BLAL,BEMLAN
RELIGARE,RELENT
MOGSEC,MOTGSC
BVCL,BARVAL
CUBEINVIT,CUBHIG
ASTERDM,ASTDM
RADIOCITY,MUSBRO
ADANIPORTS,ADAPOR
SILVERBETA,UTISIL
INDGYPSUM,INDGYP
ANTFRIBEAR,ABCBEA
KGL,KARGLO
DUNCANSLTD,DUNCAN
735IRFC31,INDN22
91D200723,TQG23C
182D191023,THJ23C
EDELWEISS,EDEFIN
INDHOTEL,INDHOT
364D180424,TYD24C
KOLTEPATIL,KOLPAT
SVLL,SHRVAS
RGL,RENJEL
729IRFC26,INDN23
KAUSHALYA,KAUINF
COLPAL,COLPAL
PATTECH,PATFIT
JYOTHYLAB,JYOLAB
AGUL,AGUNI
INDIACEM,INDCEM
MADHAV,MADMAR
KALYANIFRG,KALFOR
RHL,ROBHOT
HITECHCORP,HITPLA
764IRFC31,INDN24
SDBL-RE1,SOMRE1
TARIL,TRAREC
ECLERX,ECLSER
KIRLPNU,KGKHOS
BRIGADE,BRIENT
STERLINBIO,STEBIO
GISO-RE,GIERE1
BGRENERGY,BGRENE
BURNPUR,BURCEM
MANAKSIA,MANLIM
ARIES,ARIAGR
925SFIL25I,INN12
INDIAGLYCO,INDGLY
965SFIL25I,INN13
PPAP,PPAAUT
DVL,DHUPET
888SFIL25C,INN14
SFIL25,INN15
PATINTLOG,PATINT
TELEDATAGL,TELDAT
UJJIVANSFB,UJJSMA
LICNFNHGP,LIC100
1025SFIL26,INN16
AMBIKCO,AMBCOT
98SFIL26,INN17
BIRLAMONEY,ADIMON
INDIALEASE,INDLEA
1050SFIL28,INN18
KAVDEFENCE,KAVTEL
957SFIL28,INN19
1003SFIL28,INN20
866SFIL23A,INN21
890SFIL23A,INN22
CEATLTD,CEAT
RPOWER,RELPOW
JKIL,JKUMAR
INDIANACRY,INDACR
CORDSCABLE,CORCAB
ONMOBILE,ONMGLO
KNRCON,KNRCON
QUICKTOUCH,QUITEC
HERCULES,HERHOI
VIRINCHI,VIRLIM
INDIANHUME,INDHUM
SUJANAUNI,SUJIND
BANG,BANOVE
SEPC,SHREPC
IRB,IRBINF
PIRGLASS,GUJGLA
QGOLDHALF,QUAGOL
NMDC,NATMIN
RAIN,RAIIND
SHALPAINTS,SHAPAI
GSS,GSSINF
SADHNANIQ,SADNIT
RECLTD,RURELE
GOLDADD,DSPGOL
NAHARCAP,NAHCAP
VGUARD,VGUARD
9ICCL23A,CHON19
CIFCZC25A,CHON20
SOLEMS,SOLEMS
INDIAPHOTO,KODIND
830CIFC26,CHON21
CIFCZC26A,CHON22
840CIFCL28,CHON23
CIFCZC28A,CHON24
PDMJEPAPER,PUDPAP
MANKIND,MAPHA
DHANI,IBSECU
RACE,ANIIMP
EIHAHOTELS,EIHASS
APCOTEXIND,APCLAT
ATAM,ATAVAL
NESCO,NESCO
TITAGARH,TITWAG
ACL,ANDCEM
DPSCLTD,DPSLIM
INDIASEC,INDSEC
SGBDC27VII,SGBT34
DENEERS,DENEER
RKEC,RKEPRO
HCG,HEAGLO
AVG,AVGLOG
ATALREAL,ATAREA
RVHL,RAVHEI
ABIRLANUVO,ADIBIR
91D100823,TQH23B
APOLLOHOSP,APOHOS
GMMPFAUDLR,GUJMAC
182D091123,THK23B
364D090524,TYE24B
PIGL,POWINS
GILLETTE,GILIND
91D170823,TQH23C
182D161123,THK23C
364D160524,TYE24C
TARC,ANARA
NXST,NEXSEL
LATTEYS,LATIND
AUROIMPEX,AURIMP
COX&KINGS,CNKLIM
INDYESTUF,INDDYE
HINDWAREAP,SOMHOM
MILTON,MILIND
GODHA-RE,GODRE1
INFY,INFTEC
INGERRAND,INGRAN
MGEL,MANGLO
ABGHEAVY,STAENT
PRINCEPIPE,PRIPIP
INSILCO,INSILC
AURIGROW,GODCAB
91D240823,TQH23D
182D231123,THK23D
BHARATWIRE,BHAWIR
364D230524,TYE24D
KRISHCA,KRISTR
INTLTRAVHS,INTTRA
REMUS,REMPHA
INVELTRANS,GKNDRI
FAIRCHEMOR,FAIORG
PAVNAIND,PAVIND
TATAINVEST,TATINV
EBBETF0423,BHABO1
IOC,INDOIL
CCAVENUE,INFINC
EBBETF0430,BHABO2
LINDEINDIA,LININ
BECTORFOOD,MRSBEC
APOLLOTYRE,APOTYR
IONEXCHANG,IONEXC
IPCALAB,IPCLAB
PANACHE,PANDIG
IPCL,IPCL
TATASTLLP,TATSPO
MMP,MMPIND
91D310823,TQH23E
182D301123,THK23E
364D300524,TYE24E
CRAYONS,CRAADV
DENTALKART,VASDEN
PROV,PROAGR
ISPATPROF,ISPPRO
ISSAL,INDSE
INFOLLION,INFRES
VAISHALI,VAIPHA
ANDHRAPAP,INTPAP
ITC,ITC
SUNDROP,AGRTE
KIRIINDUS,KIRIDY
CHI,CHIINV
ANIKINDS,ANIIND
SIGMA,SIGSOL
BAJAJ-AUTO,BAAUTO
BAJAJFINSV,BAFINS
91D070923,TQI23A
182D071223,THL23A
364D060624,TYF24A
PTCIL,PTCIN
DIGISPICE,SPIMOB
SURANACORP,SURCOR
GHCLTEXTIL,GHCTEX
PIRPHYTO,PIRPHY
SHRERA-RE,SRRE1
GOKUL,GOKREF
SAHANA,SAHSYS
UBL,UNIBR
ALMONDZ,ALMGLO
HGINFRA,HGINF
DIL-RE,DEBRE1
RPGLIFE,RPGLIF
SPICETELE,SPICOM
NECLTD-RE,NORRE1
RBL,RANBRA
ITI,ITI
RANEENGINE,RANENG
KDL,KORDIG
MVL,MVLLIM
METKORE,METALL
RELBANK,RELBAN
SILVERAG,MIRSIL
ITWSIGNODE,ITWSIG
GVT&D,ALSTD
ARCHIDPLY,ARCIN
LOTUSEYE,LOTEYE
QNIFTY,QUANIF
VINYLINDIA,VINCHE
IKIO,IKILIG
KOKUYOCMLN,KOKCAM
BIRLACOT,BIRCOT
LGBFORGE,LBGFOR
OCTAV,OCTINV
EQUITAS,EQUHOL
TVSHLTD,SUNCLA
SINDHUTRAD,BHACON
LPDC,LANPRO
81TCHF28,TCLN30
SICAGEN,SICIND
SPECTSTM,SPETAL
URBAN,URBENV
AUSTRAL,AUSCOK
TCHF30,TCLN33
JAYSYNTH,JDORG
APPLECREDT,APPCRE
DPWIRES,DPWIR
TOUCHWOOD,TOUENT
ARTEMISMED,ARTMED
ZFCVINDIA,WABIND
20MICRONS,20MICR
JOCIL,JOCLIM
INDBANK,INDMER
91D210923,TQI23C
182D211223,THL23C
364D200624,TYF24C
ASHOKAMET,ASHMET
CELLPOINT,CELPOI
VILINBIO,VILBIO
AATMAJ,AATHEA
ALKALI,ALKMET
TATAMTRDVR,TMLDVR
JIKIND,JIKIND
COUNCODOS,COUCON
TPHQ,GIENGI
GATECHDVR,SCLDVR
835IFL25,IIFL40
IIFLZC25B,IIFL41
85IFL26,IIFL42
MAWANASUG,MAWSU
PATANJALI,RUCSOY
THYROCARE,THYTEC
IIFLZC26B,IIFL43
865IFL28,IIFL44
9IIFL28,IIFL45
IIFLZC28B,IIFL46
SHARIABEES,SHAETF
HINDNATGLS,HINNAT
HARITASEAT,HARSEA
HMAAGRO,HMAAGR
PALREDTEC,PALTEC
UJJIVAN,UJJFIN
JAYBARMARU,JAYMAR
URAVIDEF,URAT
ESFL,ESSSPE
MAGSON,MAGRET
GREENCHEF,GREAPP
CROMPTON,CROGR
SUMICHEM,SUMCH
SGBJ28VIII,SGBT35
PARAGMILK,PARMIL
PENTAGON,PENRUB
IDEAFORGE,IDETEC
MIDCAPIETF,ICI150
AARTECH,AARSOL
JAYPEEHOT,JAYHOT
GLOBALPET,GLOPET
EQ30,EDEN30
SFLZC25A,STFN91
NEXT50,MIRN50
SHRIPISTON,SHRPIS
CYIENTDLM,CYIDLM
PAKKA,YASPAP
APPLEIND,APPFIN
JAYSREETEA,JAYTEA
SGBJUN31I,SGBT64
ARROWTEX,ARRTEX
SYNOPTICS,SYNTEC
ITADD,DSPITF
TRIDHYA,TRILIM
ALBERTDAVD,ALBDAV
91D121023,TQJ23B
JBCHEPHARM,JBCHEM
ARMANFIN,ARMFIN
182D110124,THA24B
364D110724,TYG24B
ASPINWALL,ASPCOM
SENCO,SENGOL
SETFGOLD,SBIGOL
BLS,BLSINT
JBFIND,JBFIND
SRPL-RE,SHERE1
AJMERA,AJMREA
LLOYDSME,LLOMET
91D191023,TQJ23C
182D180124,THA24C
364D180724,TYG24C
MHRIL,MAHHOL
975NFL25,NAVN10
TELEDATAIT,TELTEC
1025NFL25,NAVN11
1075NFL25,NAVN12
1050NFL26,NAVN13
SALONA,SALCOT
1102NFL26,NAVN14
GKWLIMITED,GKW
UTKARSHBNK,UTKSMA
VINATIORGA,VINORG
MYSOREBANK,STABM
LANDSMILL,EXCINF
DRONE,DRODES
NECCLTDPP,NORPP1
ADANIPOWER,ADAPOW
SETF10GILT,SBIGSE
PREMEXPLN,PREEXP
718GS2037,718G37
SERVICE,SERCAR
NHPC,NHPC
BANKETF,MIRBAN
JINDCOT,JINCOT
GLOBUSSPR,GLOSPI
NETWEB,NETTEC
OIL,OILIND
EUROMULTI,EURMUL
MAXVIL,MAXVEN
NV20IETF,ICIN20
CONTROLPR,CONPRI
920NFL23A,INHN32
UVSL,LLOSTE
950NFL23A,INHN33
EXPLEOSOL,SQSIND
888IHFL25A,INHN34
925SCL25C,INHN35
IBHFZC25A,INHN36
IBHFZC25B,INHN37
INCREDIBLE,ADHIND
940IHFL26C,INHN38
990SCL26I,INHN39
SETCO,SETAUT
RTNPOWER,RATPOW
902SCL26I,INHN40
MAHASTEEL,MAHSTE
948SCL26I,INHN41
JINDALIRON,JINIRO
MGL,MAHGAS
SCLZC26B,INHN42
1015SCL28B,INHN43
925SCL28I,INHN44
AMRUTANJAN,AMRHEA
JINDALPOLY,JINPOL
971SCL28I,INHN45
DAMODARIND,DAMTHR
LIQUID,MIRN1D
PVTBANKADD,DSPPRI
BIRLATYRE,BIRTYR
KSE,KSE
ASALCBR,ASSALC
MARG,MARCON
MAHEPC,EPCIND
SENSEXADD,DSPSNX
PSUBANKADD,DSPPSU
IRBIT-RE,IRBRE1
MOLDTECH,MOLTEK
YCCL,YASCH
ZYDUSWELL,ZYDWEL
SUNTECK,SUNRE
893NHB29,NHBN12
POKARNA,POKGRA
UNIVPHOTO,UNIPHO
SGBFEB28IX,SGBT36
890NHB34,NHBN13
ALOKINDS,ALOIND
SHRITECH,SHRTEC
GPTINFRA,GPTINF
VIJIFIN,VIJFIN
BROOKS-RE,BRORE1
LTGILTBEES,RELGIL
MIDSELIETF,ICIMID
QUESS,QUECOR
DEN,DENNET
VCL-RE,VARE1
ASTEC,ASTLIF
BAFNAPH,BAFPHA
YATHARTH,YATHOS
NIITMTS,NIILEA
SHILPAMED,SHIME
PLPHAR-RE,PIRRE1
SARDAEN,SARENE
REFEX,REFIND
ZEAL,ZEAGLO
GROBTEA,GROTEA
ATL,ALLTER
KKVAPOW,KKVAGR
RBN,RELMED
SOMICONVEY,SOMCON
TREL,TRAREA
LLOYDSENGG,LLOST
QUAL30IETF,ICPRNI
LTM,LTINFO
KANPRPLA,KANPLA
AHLUCONT,AHLCON
GILLANDERS,GILARB
JKPHARMA,JKPHAR
DLINKINDIA,DLILIM
REDTAPE,REDLIM
957NIDO26,ECLN75
10NIDO26,ECLN76
JSWENERGY,JSWENE
GODREJPROP,GODPRO
DBCORP,DBCORP
ORIANA,ORIPOW
GATECH,STACA
KWALITY,KWALIM
ABBOTINDIA,ABBIND
VINSYS,VINIT
AMARJOTHI,AMASPI
AMLSTEEL,AMLSTE
HDIL,HDIL
GEEKAYWIRE,GEEWIR
BAYERCROP,BAYIND
925IHFL25D,CHON25
BEARDSELL,BEALIM
965IHFL25D,CHON26
HINDCOPPER,HINCOP
925IHFL25E,CHON27
COHANCE,SUVPH
INFODRIVE,INFDRI
CIFC26A,CHON28
JUPITER,JUPORG
MMTC,MINERA
84CIFCL28,CHON29
NESTLEIND,NESIND
CIFC28,CHON30
AWHCL,ANTWAS
SBICARD,SBICAR
TRF,TRF
PERF-RE,PERRE1
UNITEDTEA,THEUNI
WHIRLPOOL,WHIIND
JYOTISTRUC,JYOSTR
VLEGOV,VLEGIT
SETUINFRA,PRACON
718GS2033,718H33
SBFC,SBFFIN
MBLINFRA,MBLINF
SANGANI,SANHOS
ADVENZYMES,ADVENZ
YUDIZ,YUDSOL
MINDTECK,MINLTD
KABRAEXTRU,KABEXT
SSFL,SRISPI
CONCORDBIO,CONBIO
INFINITE,INFCOM
KAJARIACER,KAJCER
DBL,DILBUI
JUBLFOOD,JUBFOO
ARENTERP,RAJIN
NIFTY1,KOTNIF
91D171123,TQK23C
182D160224,THB24C
364D160824,TYH24C
VASCONEQ,VASENG
THANGAMAYL,THAJEW
SRGHFL,SRGHOU
DBREALTY,DBREAL
AQUA,AQULOG
YASHO,YASIND
DOLPHIN,DOLOFF
KPIL,KALPOW
JIOFIN,JIOFIN
EMMBI,EMMIND
TVSSCS,TVSSUP
HATHWAY,HATCAB
GKB,GKBOPH
KARURKCP,KARKCP
BOSCHCHASY,KALBRA
PANCARBON,PANCAR
KALYANISHP,SHARP
ARSSINFRA,ARSINF
ORIENTLTD,ORIPRE
TEXMOPIPES,TEXPIP
KECL,KIRLOS
MANINFRA,MANINF
LORDSCHLO,LORCHL
DEEPENR,DEEIND
PYRAMID,PYRTEC
SPAL,SPAPP
KAMATHOTEL,KAMHOT
CLSL,CROLI
SEL,SUNENG
AEROFLEX,AERIND
HDFCLIQUID,HDFLIQ
HNGSNGBEES,HANBEE
IVZINGOLD,INVGOL
LGBBROSLTD,LGBALA
BROADCAST,BROINI
VPRPL,VISPRA
MIDCAPBETA,UTIMID
PRADIP,PRAOVE
SANDUMA,SANMAN
PERSISTENT,PERSYS
NDGL,NAGDHU
CPS,CPSSHA
KARURVYSYA,KARVYS
RBLBANK,RBLBAN
MONOPHARMA,MONPHA
TCPLPACK,TWEFIR
KCP,KCPLTD
91D071223,TQL23A
182D070324,THC24A
364D050924,TYI24A
RISHABH,RISINS
SHRIASTER,SHRAST
ASIANHOTNR,ASIHOT
RATNAVEER,RATPRE
RMMIL,RESMIN
BIGBLOC,BIGCON
SUMMIT,KECINT
BASILIC,BASFLY
910CAGL25,CREND7
SGBMAR28X,SGBT37
POWERINDIA,ABBPOW
CAGL25,CREND8
925CAGL26,CREND9
CAGL26,CREN10
719GS2060,719D60
ISFT,INTSOF
940CAGL27,CREN11
CAGL27,CREN12
970CAGL28,CREN13
SABEVENTS,SABEVE
CAGL28,CREN14
TVVISION,TVVISI
SAROJA,SARPHA
PRAMARA,PRAPR
CUPID,CUPRUB
DIACABS,DIAPOW
NGIL-RE1,NAKRE1
JLHL,JUPLIF
JIWANRAM,JIWSHE
716GS2050,716D50
MITTAL,MITLIF
LTTS,LTTEC
RRKABEL,RRKAB
GNA,GNAAXL
KIRLOSBROS,KIRBRO
UNIHEALTH,UNICON
VALECHAENG,VALENG
HUSYSLTD,HUSCON
EMSLIMITED,EMSLIM
91D211223,TQL23C
182D210324,THC24C
364D190924,TYI24C
ZAGGLE,ZAGPRE
SAMHI,SAMHOT
KGDENIM,KGDENI
915SCL26,IBHN14
PERFECTPP,PERPP1
DIAMINESQ,DIACHE
HOLMARC,HOLOPT
ICICIPRULI,ICIPRU
CHAVDA,CHINF
MARATHON,MARNEX
NAVINIFTY,NAVNIF
HPL,HPLELE
AVSL,AVSIN
JETKNIT,JETKNI
KEL,KUNEDI
NUVAMA,NUVWEA
MASKINVEST,MASINV
MADHUSUDAN,MADMAS
SIGNATURE,SIGI
KODYTECH,KODTEC
KALAMANDIR,SAISIK
YATRA,YATONL
ALCODIS,AURDIS
DIRL,DHAREA
MARCO,MARCAB
IDFNIFTYET,IDFNIF
CLOUD-RE,VARRE1
CARYSIL,ACRIN
HIGREEN,HIGCAR
SGBSEP24,SGBTR5
TALWALKARS,TALWAL
CELLECOR,CELGAD
925IHFL25F,INHN46
NITESHEST,NITEST
965IHFL25E,INHN47
ENDURANCE,ENDTEC
IBHF25A,INHN49
TARAPUR,TARLIM
IBHF25B,INHN50
NIRAJISPAT,NIRISP
IBULHSGFIN,IBHN37
965SCL28C,INHN57
579GS2030,579E30
925SCL28C,INHN58
KINETICMOT,KINHON
971SCL28C,INHN59
SGBAPR28I,SGBT38
VERTOZ,VERADV
10SCL30A,INHN60
MAZDA,MAZCON
1003SCL30,INHN61
957SCL30,INHN62
SJVN,SJVLIM
KSL,KALSTE
1025SCL33A,INHN65
JPINFRATEC,JAYINF
1075SCL33A,INHN66
980SCL33A,INHN67
888SCL25E,INHN68
PNBHOUSING,PNBHOU
GUJNREDVR,GUJNPP
VBL,VARBEV
SUNDARAM,SUNMUL
RAINBOWPAP,RAIPAP
KINGFA,HYDSS
RIL-RE,RELRE1
RAJRATAN,RAJWIR
KAPSTON,KAPFAC
SGBMAY28,SGBT39
619GS2034,619E34
522GS2025,522F25
UNIVASTU,UNIVIN
PIONDIST,PIODIS
STYRENIX,STYABS
DUDIG-RE,DUDRE1
CUMMINSIND,CUMIND
MASTER,MASCOM
MVGJL,MANVAI
JSWINFRA,JSWINF
KIRLOSIND,KIROIL
SAMRUDDHI,SAMCEM
PODDARMENT,PODPIG
KIRLOSPNEU,KIRPNE
10IIFL29,IIFL14
105IIFL29,IIFL15
MANAPPURAM,MANAFI
985IIFL22,IIFL21
AARVI,AARENC
SGBJUN28,SGBT40
ARVINDF-RE,ARVRE1
ITBEES,NIPNIT
SILLYMONKS,SILMON
ABFRL-RE,ADIRE1
ROLLT,ROLLAT
NBIFIN,NBIIND
SAAKSHI,SAAMED
UDS,UPDSER
KIOCL,KIOLIM
MAL,MANALL
DIGIKORE,DIGSTU
UMESLTD,USHMAR
GICL-RE,GLORE1
INSPIRE,INSFIL
NEWJAISA,NEWTEC
SFL,SHEFOA
TI,TILIND
875NHAI29,NHAND6
SGBJAN29IX,SGBT46
HEADSUP,MANRET
VINYAS,VININN
HMVL,HINMED
KOTAKBANK,KOTMAH
VALIANTLAB,VALLAB
TCIEXP,TCIEXP
SENSEXETF,MIRSEN
WEALTH,WEAFIR
LAURUSLABS,LAULAB
IMFA,INDMFA
MONIFTY500,MOTNIF
ARABIAN,ARAPET
CHOLAFIN,CHOINV
EFACTOR,EFAEXP
BLISSGVS,BLIGVS
LIQUIDETF,DSPETF
DFMFOODS,DFMFOO
THEJO,THEENG
EMAMIREAL,EMAINF
KONTOR,KONSPA
MOM50,MOTM50
TERASOFT,TERSOF
ITDC,INDTOU
ARVIND,ARVLIM
VISHNUINFR,VISPRO
MARSHAL-RE,MAMRE1
HISARMETAL,HISMET
RHFL,RHFND7
PROLIFE,PROIN
GOYALSALT,GOYSAL
CANARYS,CANAUT
KREBSBIO,KREBIO
AHLWEST,ASIWES
SPCENET,SPAENT
SRTRANS-RE,SHRRE1
PVR-RE,PVRRE1
BODHTREE,BODCON
BOROLTD,BORLIM
ROSSARI,ROSBIO
REFEX-RE,REFRE1
EMPEESUG,EMPSUG
OLIL,ONELOG
SICALLOG,SICAL
AHLEAST,ASIEAS
CAPTRUST,CAPTRU
SGBSEP31II,SGBT65
KRONECOMM,ADCIND
PLAZACABLE,PLAWIR
KARNIKA,KARI
SCML,SHACHU
KSB,KSBPUM
PLADAINFO,PLAINF
SECMARK,SECCON
TICL,TANCON
COMMITTED,COMCAR
IITL,INDINV
BAJAJCON,BAJCOR
HDFCGOLD,HDFGOL
BHANDARI,BHAHOS
CLOUDPP,VARPP1
737GS2028,737J28
UGARSUGAR,UGASUG
BSE,BSE
ARVINDPORT,ARVCOM
IRMENERGY,IRMENE
PRAKASHSTL,PRAS
LAKHNNATNL,PANENE
WOMANCART,WOMLIM
PRICOLLTD,PRILI
ITETF,MIRASS
TRENT,TRENT
ALPHAETF,MIRALP
MAXESTATES,MAXEST
KALYANI,KALCO
PODDARHOUS,PODHOU
GOLDIETF,ICIGOL
RCDL,RAJCAS
BLUEJET,BLUJET
JITFINFRA,JITINF
ONDOOR,ONDOO
HMT,HMT
LAKSHVILAS,LAKVIL
LIQUIDSBI,SBIN1D
URJA-RE,URJRE1
GPPL,GUJPPL
SHANTHALA,SHAFMC
925IHFL25,INHN48
940IHFL26,INHN52
LANESEDA,LANESE
990SCL26,INHN51
ADFFOODS,ADFFOO
902SCL26,INHN54
948SCL26,INHN53
SCLZC26C,INHN55
888SCL25D,INHN64
980SCL33C,INHN63
PARAGON,PARF
MUFIN,APMFIN
LMW,LAKMAC
CELLO,CELWOR
TRANSTEEL,TRASEA
WELINV,WELINV
MAITREYA,MAIMED
HONASA,HONCON
9PEL25,PIRN18
SARTELE,SARTEL
AMNPLST,AMIPLA
LGHL,LAXGOL
ESAFSFB,ESASMA
MICROPRO,MICSOF
MASFIN,MASFIN
DMART,AVESUP
812REC27,RECSR2
743REC35,RECN27
764HUDCO31,HUDN29
769HUDCO31,HUDN33
ORISSAMINE,ORIMIN
EGOLD,EDEGOL
LIBERTSHOE,LIBSHO
KILITCH,KILDRU
DEEPAKNTR,DEENIT
925IHFL25Z,INHN78
965IHFL25A,INHN79
WAAREEINDO,INDLIM
888IHFL25,INHN80
851HUDCO28,HUDND8
876HUDCO28,HUDN11
LICHSGFIN,LICHF
901HUDCO34,HUDN18
735PFCL35,PFCN23
736PFCL28,PFCND8
ASHCONIUL,DATIND
925IHFL25A,INHN81
RANBAXY,RANLAB
PRITHVISOF,PRISOF
SOUISPAT,SOUISP
SRICHAMUND,CHASUG
830PFCL27,PFCTB2
892PFCL33,PFCN16
SGBJAN29X,SGBT47
774IREDA31,IREN12
764NABAR31,NABN13
IBHFZC25C,INHN82
IBHFZC25D,INHN83
AHLADA,AHLENG
940SCL26A,INHN84
872MMFSL26,MAHND6
9MMFSML,MAHN12
740IIFCL33,IIFC10
891IIFCL34,IIFC28
990SCL26A,INHN85
HEALTHX,MICFIN
902SCL26A,INHN86
INTENTECH,INTT
INFRABEES,INFBEE
948SCL26A,INHN87
SCLZC26D,INHN88
SCLZC26E,INHN89
CPCAP,CARPOI
TASTYBITE,TASBIT
965SCL28A,INHN90
1015SCL28,INHN91
925SCL28A,INHN92
971SCL28A,INHN93
GREENPOWER,ORIGRE
1050SCL30,INHN94
1003SCL30A,INHN95
1075SCL33B,INHN96
LML,LML
980SCL33,INHN97
925SCL25G,INHN98
965SCL25F,INHN99
RAMKY,RAINFR
732GS2030,732K30
GALLISPAT,GALISP
BABAFP,BABFOO
ASKAUTOLTD,ASKAUT
ARIHANTSUP,ARISUP
CANTABIL,CANRET
ROXHITECH,ROXHI
LUMAXIND,LUMIND
ASHOKA,ASHBUI
WABAG,VATWAB
AKSHARCHEM,AUDIND
BEDMUTHA,BEDIND
URJA,URJGLO
SUNREST,SUNLIF
JWL,COMENG
CLEDUCATE,CLEDU
OBEROIRLTY,OBEREA
ESILVER,EDESIL
IREDA,INDREN
ROCKINGDCE,ROCDEA
IRFC,INDR
TATATECH,TATTEC
SHAH,GYSALL
ASHAPURMIN,ASHMIN
PRESTIGE,PREEST
GANDHAR,GANOIL
M&M,MAHMAH
NRAIL,NRAGAR
SHANKARA,SHABUI
FEDFINA,FEDFIN
RESPONIND,RESIND
CGCL,CAPGLO
L&TFH-RE,LTFRE1
FLAIR,FLAWRI
COALINDIA,COALIN
UNIDT,UNIDRI
CBAZAAR,NETAVE
MARINETRAN,MARIN
IOLCP,IOLCHE
SHEETAL,SHEUNI
NACLIND,NAGAG
888IHFL25F,CHON31
RAMCOCEM,RAMCEM
CIFCZC25,CHON32
850CIFCL26,CHON33
CIFCZC26,CHON34
860CIFCL28,CHON35
CIFCZC28,CHON36
APCL,ANJPO
GRAPHISAD,GRALIM
SGBMAR25,SGBTR7
INDIGOPNTS,INDPAI
WIPL,WESIP
182D130624,THF24B
ACCENTMIC,ACCMIC
CHENNPETRO,CHEPET
PRESSTONIC,PREENG
PRUDMOULI,PRUSUG
BAJEL,BAJPRO
GOLDAXIS,AXIGOL
GRAVITA,GRAVIN
SJLOGISTIC,SJLOG
BBNPPGOLD,PARGOL
DOMS,DOMIND
INDIASHLTR,INDSHE
HOMEFIRST,HOMFIR
DOLLAR,DOLIN
ASHIMASYN,ASHLIM
SHREEOSFM,SHROSF
INOXINDIA,INOIND
850TPL26,TATP01
847TPL26,TATP02
SUPERHOUSE,SUPLIM
820TPL26,TATP03
PENIND,PENIND
TPL26,TATP04
843TPL26,TATP05
L&TFIN,LTFN34
92LTF29,LTFN21
JINDWORLD,JINWOR
935LTF29,LTFN22
884LTF29,LTFN23
898LTF29,LTFN24
885LTF27,LTFN35
905LTF27,LTFN36
852LTF27,LTFN37
87LTF27,LTFN38
845LTF24,LTFN45
86LTF24,LTFN46
SCHAND,SCHA
815LTF24,LTFN47
829LTF24,LTFN48
85LTF26,LTFN49
865LTF26,LTFN50
91D210324,TQC24C
182D200624,THF24C
364D191224,TYL24C
VTL,VARTEX
815SHFL25,SUNND2
878MFL27,MUT467
885MFL28,MUT468
771HDFCB33,HDFN21
RPPINFRA,RPPINF
921ISFL25,IIFN12
960ISFL25,IIFN13
957ISFL26,IIFN14
10ISFL26,IIFN15
JAMNAAUTO,JAMAUT
1003ISFL28,IIFN16
1050ISFL28,IIFN17
MOTISONS,MOTJEW
MAHINDUGIN,MAHUGI
SUMEETINDS,SUMIND
